DATE,3 Month Treasury Bills Yield
1/2/1991,5.94
1/3/1991,5.91
1/4/1991,5.65
1/5/1991,5.46
1/6/1991,5.57
1/7/1991,5.58
1/8/1991,5.33
1/9/1991,5.22
1/10/1991,4.99
1/11/1991,4.56
1/12/1991,4.07
1/1/1992,3.8
1/2/1992,3.84
1/3/1992,4.04
1/4/1992,3.75
1/5/1992,3.63
1/6/1992,3.66
1/7/1992,3.21
1/8/1992,3.13
1/9/1992,2.91
1/10/1992,2.86
1/11/1992,3.13
1/12/1992,3.22
1/1/1993,3
1/2/1993,2.93
1/3/1993,2.95
1/4/1993,2.87
1/5/1993,2.96
1/6/1993,3.07
1/7/1993,3.04
1/8/1993,3.02
1/9/1993,2.95
1/10/1993,3.02
1/11/1993,3.1
1/12/1993,3.06
1/1/1994,2.98
1/2/1994,3.25
1/3/1994,3.5
1/4/1994,3.68
1/5/1994,4.14
1/6/1994,4.14
1/7/1994,4.33
1/8/1994,4.48
1/9/1994,4.62
1/10/1994,4.95
1/11/1994,5.29
1/12/1994,5.6
1/1/1995,5.71
1/2/1995,5.77
1/3/1995,5.73
1/4/1995,5.65
1/5/1995,5.67
1/6/1995,5.47
1/7/1995,5.42
1/8/1995,5.4
1/9/1995,5.28
1/10/1995,5.28
1/11/1995,5.36
1/12/1995,5.14
1/1/1996,5
1/2/1996,4.83
1/3/1996,4.96
1/4/1996,4.95
1/5/1996,5.02
1/6/1996,5.09
1/7/1996,5.15
1/8/1996,5.05
1/9/1996,5.09
1/10/1996,4.99
1/11/1996,5.03
1/12/1996,4.91
1/1/1997,5.03
1/2/1997,5.01
1/3/1997,5.14
1/4/1997,5.16
1/5/1997,5.05
1/6/1997,4.93
1/7/1997,5.05
1/8/1997,5.14
1/9/1997,4.95
1/10/1997,4.97
1/11/1997,5.14
1/12/1997,5.16
1/1/1998,5.04
1/2/1998,5.09
1/3/1998,5.03
1/4/1998,4.95
1/5/1998,5
1/6/1998,4.98
1/7/1998,4.96
1/8/1998,4.9
1/9/1998,4.61
1/10/1998,3.96
1/11/1998,4.41
1/12/1998,4.39
1/1/1999,4.34
1/2/1999,4.44
1/3/1999,4.44
1/4/1999,4.29
1/5/1999,4.5
1/6/1999,4.57
1/7/1999,4.55
1/8/1999,4.72
1/9/1999,4.68
1/10/1999,4.86
1/11/1999,5.07
1/12/1999,5.2
1/1/2000,5.32
1/2/2000,5.55
1/3/2000,5.69
1/4/2000,5.66
1/5/2000,5.79
1/6/2000,5.69
1/7/2000,5.96
1/8/2000,6.09
1/9/2000,6
1/10/2000,6.11
1/11/2000,6.17
1/12/2000,5.77
1/1/2001,5.15
1/2/2001,4.88
1/3/2001,4.42
1/4/2001,3.87
1/5/2001,3.62
1/6/2001,3.49
1/7/2001,3.51
1/8/2001,3.36
1/9/2001,2.64
1/10/2001,2.16
1/11/2001,1.87
1/12/2001,1.69
1/1/2002,1.65
1/2/2002,1.72
1/3/2002,1.79
1/4/2002,1.71
1/5/2002,1.73
1/6/2002,1.7
1/7/2002,1.68
1/8/2002,1.62
1/9/2002,1.63
1/10/2002,1.58
1/11/2002,1.23
1/12/2002,1.19
1/1/2003,1.17
1/2/2003,1.17
1/3/2003,1.13
1/4/2003,1.13
1/5/2003,1.07
1/6/2003,0.92
1/7/2003,0.9
1/8/2003,0.95
1/9/2003,0.94
1/10/2003,0.92
1/11/2003,0.93
1/12/2003,0.9
1/1/2004,0.88
1/2/2004,0.93
1/3/2004,0.94
1/4/2004,0.94
1/5/2004,1.02
1/6/2004,1.27
1/7/2004,1.33
1/8/2004,1.48
1/9/2004,1.65
1/10/2004,1.76
1/11/2004,2.07
1/12/2004,2.19
1/1/2005,2.33
1/2/2005,2.54
1/3/2005,2.74
1/4/2005,2.78
1/5/2005,2.84
1/6/2005,2.97
1/7/2005,3.22
1/8/2005,3.44
1/9/2005,3.42
1/10/2005,3.71
1/11/2005,3.88
1/12/2005,3.89
1/1/2006,4.24
1/2/2006,4.43
1/3/2006,4.51
1/4/2006,4.6
1/5/2006,4.72
1/6/2006,4.79
1/7/2006,4.95
1/8/2006,4.96
1/9/2006,4.81
1/10/2006,4.92
1/11/2006,4.94
1/12/2006,4.85
1/1/2007,4.98
1/2/2007,5.03
1/3/2007,4.94
1/4/2007,4.87
1/5/2007,4.73
1/6/2007,4.61
1/7/2007,4.82
1/8/2007,4.2
1/9/2007,3.89
1/10/2007,3.9
1/11/2007,3.27
1/12/2007,3
1/1/2008,2.75
1/2/2008,2.12
1/3/2008,1.26
1/4/2008,1.29
1/5/2008,1.73
1/6/2008,1.86
1/7/2008,1.63
1/8/2008,1.72
1/9/2008,1.13
1/10/2008,0.67
1/11/2008,0.19
1/12/2008,0.03
1/1/2009,0.13
1/2/2009,0.3
1/3/2009,0.21
1/4/2009,0.16
1/5/2009,0.18
1/6/2009,0.18
1/7/2009,0.18
1/8/2009,0.17
1/9/2009,0.12
1/10/2009,0.07
1/11/2009,0.05
1/12/2009,0.05
1/1/2010,0.06
1/2/2010,0.11
1/3/2010,0.15
1/4/2010,0.16
1/5/2010,0.16
1/6/2010,0.12
1/7/2010,0.16
1/8/2010,0.16
1/9/2010,0.15
1/10/2010,0.13
1/11/2010,0.14
1/12/2010,0.14
1/1/2011,0.15
1/2/2011,0.13
1/3/2011,0.1
1/4/2011,0.06
1/5/2011,0.04
1/6/2011,0.04
1/7/2011,0.04
1/8/2011,0.02
1/9/2011,0.01
1/10/2011,0.02
1/11/2011,0.01
1/12/2011,0.01
1/1/2012,0.03
1/2/2012,0.09
1/3/2012,0.08
1/4/2012,0.08
1/5/2012,0.09
1/6/2012,0.09
1/7/2012,0.1
1/8/2012,0.1
1/9/2012,0.11
1/10/2012,0.1
1/11/2012,0.09
1/12/2012,0.07
1/1/2013,0.07
1/2/2013,0.1
1/3/2013,0.09
1/4/2013,0.06
1/5/2013,0.04
1/6/2013,0.05
1/7/2013,0.04
1/8/2013,0.04
1/9/2013,0.02
1/10/2013,0.05
1/11/2013,0.07
1/12/2013,0.07
1/1/2014,0.04
1/2/2014,0.05
1/3/2014,0.05
1/4/2014,0.03
1/5/2014,0.03
1/6/2014,0.04
1/7/2014,0.03
1/8/2014,0.03
1/9/2014,0.02
1/10/2014,0.02
1/11/2014,0.02
1/12/2014,0.03
1/1/2015,0.03
1/2/2015,0.02
1/3/2015,0.03
1/4/2015,0.02
1/5/2015,0.02
1/6/2015,0.02
1/7/2015,0.03
1/8/2015,0.07
1/9/2015,0.02
1/10/2015,0.02
1/11/2015,0.12
1/12/2015,0.23
1/1/2016,0.26
1/2/2016,0.31
1/3/2016,0.29
1/4/2016,0.23
1/5/2016,0.27
1/6/2016,0.27
1/7/2016,0.3
1/8/2016,0.3
1/9/2016,0.29
1/10/2016,0.33
1/11/2016,0.45
1/12/2016,0.51
1/1/2017,0.51
1/2/2017,0.52
1/3/2017,0.74
1/4/2017,0.8
1/5/2017,0.89
1/6/2017,0.98
1/7/2017,1.07
1/8/2017,1.01
1/9/2017,1.03
1/10/2017,1.07
1/11/2017,1.23
1/12/2017,1.32
1/1/2018,1.41
1/2/2018,1.57
1/3/2018,1.7
1/4/2018,1.76
1/5/2018,1.86
1/6/2018,1.9
1/7/2018,1.96
1/8/2018,2.03
1/9/2018,2.13
1/10/2018,2.25
1/11/2018,2.33
1/12/2018,2.37
1/1/2019,2.37
1/2/2019,2.39
1/3/2019,2.4
1/4/2019,2.38
1/5/2019,2.35
1/6/2019,2.17
1/7/2019,2.1
1/8/2019,1.95
1/9/2019,1.89
1/10/2019,1.65
