,date,open,high,low,close,adjusted_close,volume,wma_x,wma_y,slope_x,slope_y,rsi_x,rsi_y,volatility_x,volatility_y
8762,2015-09-29,112.83,113.51,107.86,109.06,24.8163,293461600.0,25.6526,25.8479,-0.1624,-0.0449,30.1671,40.3152,0.2082,0.1678
8763,2015-09-30,110.17,111.54,108.73,110.3,25.0985,265892000.0,25.4734,25.735,-0.1819,-0.0799,37.7079,43.3155,0.2331,0.2099
8764,2015-10-01,109.07,109.62,107.31,109.58,24.9347,255716400.0,25.2933,25.6052,-0.2379,-0.1051,35.1384,41.9959,0.2887,0.2715
8765,2015-10-02,108.01,111.01,107.55,110.38,25.1167,232079200.0,25.1897,25.5097,-0.2134,-0.1122,40.4027,44.036,0.2636,0.29
8766,2015-10-05,109.88,111.37,109.07,110.78,25.2077,208258800.0,25.1408,25.437,-0.1251,-0.1045,43.0968,45.0762,0.1667,0.2676
8767,2015-10-06,110.63,111.74,109.77,111.31,25.3283,192787200.0,25.1564,25.3924,0.0011,-0.0869,46.8141,46.4955,0.0551,0.2201
8768,2015-10-07,111.74,111.77,109.41,110.78,25.2077,187062400.0,25.1695,25.3426,0.0681,-0.0863,43.4988,45.2366,0.0262,0.219
8769,2015-10-08,110.19,110.19,108.21,109.5,24.9164,247918400.0,25.1233,25.2609,0.0075,-0.0944,36.2622,42.2602,0.0193,0.2359
8770,2015-10-09,110.0,112.28,109.49,112.12,25.5126,211064400.0,25.2225,25.2672,0.0476,-0.0683,54.3831,49.5733,0.0382,0.1934
8771,2015-10-12,112.73,112.75,111.44,111.6,25.3943,121868800.0,25.2773,25.2644,0.0368,-0.056,51.025,48.2669,0.0326,0.1817
8772,2015-10-13,110.82,112.45,110.68,111.79,25.4375,132197200.0,25.3266,25.2713,0.0402,-0.0339,52.2804,48.7976,0.0338,0.1521
8773,2015-10-14,111.29,111.52,109.56,110.21,25.078,177849600.0,25.2745,25.2357,0.0067,-0.0144,41.8622,44.6897,0.0388,0.1027
8774,2015-10-15,110.93,112.1,110.49,111.86,25.4535,150694000.0,25.3209,25.2606,0.0352,0.0185,53.2216,49.4741,0.0429,0.0533
8775,2015-10-16,111.78,112.0,110.53,111.04,25.2669,156930400.0,25.3162,25.2668,0.022,0.0319,47.8062,47.2852,0.042,0.0434
8776,2015-10-19,110.8,111.75,110.11,111.73,25.4239,119036800.0,25.3486,25.297,-0.018,0.0257,52.5459,49.317,0.0187,0.0348
8777,2015-10-20,111.34,114.17,110.82,113.77,25.8881,195871200.0,25.479,25.3832,0.0587,0.0395,63.865,54.8574,0.0517,0.06
8778,2015-10-21,114.0,115.58,113.7,113.76,25.8858,167180800.0,25.5954,25.4616,0.1048,0.0444,63.7771,54.8254,0.0776,0.0707
8779,2015-10-22,114.33,115.5,114.1,115.5,26.2817,166616400.0,25.7932,25.5838,0.182,0.0623,71.6235,59.231,0.1521,0.1193
8780,2015-10-23,116.7,119.23,116.33,119.08,27.0964,237467600.0,26.1645,25.8035,0.265,0.1015,81.3319,66.4763,0.3435,0.2909
8781,2015-10-26,118.08,118.13,114.92,115.28,26.2317,265335200.0,26.2475,25.8899,0.2369,0.1116,57.1293,55.2527,0.3185,0.312
8782,2015-10-27,115.4,116.54,113.99,114.55,26.0656,279537600.0,26.2613,25.9455,0.1365,0.109,53.5576,53.388,0.2269,0.3069
8783,2015-10-28,116.93,119.3,116.06,119.27,27.1396,342205600.0,26.515,26.1362,0.1451,0.1237,68.4414,62.2574,0.2437,0.3828
8784,2015-10-29,118.7,120.69,118.27,120.53,27.4263,204909200.0,26.7791,26.344,0.1895,0.1565,71.3054,64.215,0.3217,0.5285
8785,2015-10-30,120.99,121.22,119.45,119.5,27.1919,197461200.0,26.9297,26.5022,0.1535,0.1703,65.6248,61.4106,0.268,0.586
8786,2015-11-02,120.8,121.36,119.61,121.18,27.5742,128813200.0,27.1292,26.6943,0.1684,0.1885,70.1497,64.1598,0.29,0.6764
8787,2015-11-03,120.79,123.49,120.7,122.57,27.8905,182076000.0,27.3616,26.9083,0.2874,0.1945,73.5149,66.299,0.3979,0.7157
8788,2015-11-04,123.13,123.82,121.62,122.0,27.7608,179544400.0,27.5332,27.0781,0.2405,0.1968,69.753,64.5964,0.3161,0.7282
8789,2015-11-05,121.85,122.69,120.18,120.92,27.6328,158210800.0,27.6183,27.209,0.1017,0.1792,65.8719,62.8801,0.0674,0.6314
8790,2015-11-06,121.11,121.81,120.62,121.06,27.6648,132169200.0,27.6553,27.3215,0.0637,0.1573,66.4169,63.1438,0.0446,0.5174
8791,2015-11-09,120.96,121.81,120.05,120.57,27.5528,135485600.0,27.6456,27.3978,0.0359,0.1376,62.3511,61.4975,0.0406,0.4413
8792,2015-11-10,116.9,118.07,116.06,116.77,26.6845,236511600.0,27.4143,27.3424,-0.1229,0.0857,40.1309,50.5038,0.1327,0.3451
8793,2015-11-11,116.37,117.42,115.21,116.11,26.5336,180872000.0,27.1634,27.2594,-0.2251,0.0391,37.4267,48.8688,0.2543,0.3179
8794,2015-11-12,116.26,116.82,115.65,115.72,26.4445,130102400.0,26.9274,27.162,-0.2546,0.0156,35.7664,47.8831,0.303,0.3533
8795,2015-11-13,115.2,115.57,112.27,112.34,25.6721,183249600.0,26.5499,26.9679,-0.3336,-0.0555,24.6894,40.2952,0.4917,0.4458
8796,2015-11-16,111.38,114.24,111.0,114.18,26.0926,152426800.0,26.3522,26.8351,-0.3114,-0.1177,37.0684,45.3707,0.4525,0.4419
8797,2015-11-17,114.92,115.05,113.32,113.69,25.9806,110467600.0,26.1815,26.6872,-0.2415,-0.1477,35.2671,44.2907,0.318,0.5228
8798,2015-11-18,115.76,117.49,115.5,117.29,26.8033,186698800.0,26.2765,26.66,-0.0393,-0.1398,54.2992,53.1184,0.1449,0.5112
8799,2015-11-19,117.64,119.75,116.76,118.78,27.1438,173183200.0,26.4835,26.6841,0.102,-0.127,59.9806,56.2112,0.2191,0.5098
8800,2015-11-20,119.2,119.92,118.85,119.3,27.2626,137148400.0,26.7038,26.7246,0.2182,-0.0981,61.9082,57.2703,0.3158,0.4889
8801,2015-11-23,119.27,119.73,117.34,117.75,26.9084,129930000.0,26.8095,26.7207,0.2576,-0.0675,53.0245,53.1431,0.3367,0.4191
8802,2015-11-24,117.33,119.35,117.12,118.88,27.1666,171212800.0,26.9632,26.7607,0.1977,-0.0295,58.1338,55.6521,0.2345,0.3666
8803,2015-11-25,119.21,119.23,117.92,118.03,26.9724,85553200.0,27.0149,26.7804,0.1238,0.0014,53.0689,53.3387,0.1602,0.3193
8804,2015-11-27,118.29,118.41,117.6,117.81,26.9221,52185600.0,27.0227,26.7997,-0.0029,0.0348,51.7076,52.7274,0.0238,0.2617
8805,2015-11-30,117.99,119.41,117.75,118.3,27.0341,156721200.0,27.0248,26.841,-0.0338,0.071,54.7246,53.9919,0.0157,0.2182
8806,2015-12-01,118.75,118.81,116.86,117.34,26.8147,139409600.0,26.9638,26.858,-0.0477,0.0745,47.8872,51.1078,0.0209,0.2192
8807,2015-12-02,117.34,118.11,116.08,116.28,26.5725,133546400.0,26.854,26.8415,-0.0589,0.0656,41.2497,48.0561,0.0297,0.2184
8808,2015-12-03,116.55,116.79,114.22,115.2,26.3257,166278000.0,26.7072,26.7917,-0.1225,0.0465,35.4141,45.1008,0.0721,0.2237
8809,2015-12-04,115.29,119.25,115.11,119.03,27.2009,231108000.0,26.8,26.8597,-0.0346,0.0275,59.2593,55.5419,0.0755,0.1562
8810,2015-12-07,118.98,119.86,117.81,118.28,27.0295,128336800.0,26.8487,26.8903,0.006,0.0108,54.6493,53.4,0.0782,0.1198
8811,2015-12-08,117.52,118.6,116.86,118.23,27.0181,137238000.0,26.8926,26.9104,0.0361,-0.0141,54.3214,53.2529,0.0815,0.0598
8812,2015-12-09,117.64,117.69,115.08,115.62,26.4217,185445600.0,26.7839,26.8412,0.0149,-0.0335,39.7602,46.0984,0.0963,0.077
8813,2015-12-10,116.04,116.94,115.51,116.17,26.5473,116850800.0,26.7284,26.7923,-0.0024,-0.0364,43.4825,47.6923,0.1016,0.081
8814,2015-12-11,115.19,115.39,112.85,113.18,25.8641,187544800.0,26.5118,26.658,-0.1178,-0.0523,31.2345,40.651,0.1951,0.1325
8815,2015-12-14,112.18,112.68,109.79,112.48,25.7041,257274800.0,26.2804,26.5157,-0.2604,-0.0782,29.0025,39.1917,0.2964,0.2051
8816,2015-12-15,111.94,112.8,110.35,110.49,25.2493,213292400.0,25.9575,26.3243,-0.3045,-0.1034,23.4461,35.3113,0.3947,0.3171
8817,2015-12-16,111.07,111.99,108.8,111.34,25.4436,224954000.0,25.7529,26.177,-0.2826,-0.121,30.119,38.1297,0.3549,0.3795
8818,2015-12-17,112.02,112.25,108.98,108.98,24.9043,179091200.0,25.4701,25.9723,-0.2634,-0.1489,23.489,33.7362,0.3086,0.5103
8819,2015-12-18,108.91,109.52,105.81,106.03,24.2301,385813200.0,25.0943,25.697,-0.3261,-0.1835,17.7805,29.2055,0.4657,0.7357
8820,2015-12-21,107.28,107.37,105.57,107.33,24.5272,190362400.0,24.871,25.488,-0.2608,-0.2046,26.9124,33.4471,0.315,0.8475
8821,2015-12-22,107.4,107.72,106.45,107.23,24.5044,131157600.0,24.7141,25.2978,-0.2235,-0.2242,26.6474,33.2823,0.2569,0.9418
8822,2015-12-23,107.27,108.85,107.2,108.61,24.8197,130629600.0,24.6846,25.1692,-0.1266,-0.2339,36.7026,37.8433,0.159,0.9756
8823,2015-12-24,109.0,109.0,107.95,108.03,24.6872,54281600.0,24.6536,25.0374,-0.0773,-0.2119,34.3913,36.7077,0.1273,0.8471
8824,2015-12-28,107.59,107.69,106.18,106.82,24.4107,106816800.0,24.5736,24.8926,-0.0098,-0.1924,29.8194,34.3885,0.0477,0.7284
8825,2015-12-29,106.96,109.43,106.86,108.74,24.8494,123724800.0,24.6401,24.8313,0.0646,-0.1492,43.6785,40.7814,0.043,0.511
8826,2015-12-30,108.58,108.7,107.18,107.32,24.5249,100855200.0,24.6274,24.7474,0.0098,-0.1254,37.3188,37.8441,0.0245,0.4063
8827,2015-12-31,107.01,107.03,104.82,105.26,24.0542,163649200.0,24.4866,24.6187,-0.0635,-0.1026,29.9412,34.0168,0.0642,0.2742
8828,2016-01-04,102.61,105.37,102.0,105.35,24.0747,270597600.0,24.3677,24.5165,-0.121,-0.0907,30.6379,34.3283,0.0924,0.225
8829,2016-01-05,105.75,105.85,102.41,102.71,23.4714,223164000.0,24.1134,24.351,-0.1827,-0.0935,22.8393,29.8604,0.1875,0.2396
8830,2016-01-06,100.56,102.37,99.87,100.7,23.0121,273829600.0,23.7924,24.1454,-0.2644,-0.1147,18.6279,26.9813,0.3439,0.3492
8831,2016-01-07,98.68,100.13,96.43,96.45,22.0409,324377600.0,23.2884,23.8317,-0.4298,-0.1473,12.8037,22.1238,0.7919,0.6069
8832,2016-01-08,98.55,99.11,96.76,96.96,22.1574,283192000.0,22.8982,23.5659,-0.4354,-0.1794,16.4591,23.8938,0.8092,0.8117
8833,2016-01-11,98.97,99.06,97.34,98.53,22.5162,198957600.0,22.6939,23.3741,-0.3528,-0.2114,27.3956,29.2289,0.6196,0.939
8834,2016-01-12,100.55,100.69,98.84,99.96,22.843,196616800.0,22.6429,23.2423,-0.2307,-0.2167,36.2621,33.782,0.4506,0.96
8835,2016-01-13,100.32,101.19,97.3,97.39,22.2557,249758400.0,22.4885,23.0481,-0.1254,-0.2322,28.8701,30.0414,0.2316,1.0408
8836,2016-01-14,97.96,100.48,95.74,99.52,22.7425,252680400.0,22.5206,22.9403,0.0109,-0.2135,40.5828,36.334,0.118,0.9505
8837,2016-01-15,96.2,97.71,95.36,97.13,22.1963,319335600.0,22.4423,22.7794,0.0491,-0.2056,33.3863,32.7721,0.0824,0.905
8838,2016-01-19,98.41,98.65,95.5,96.66,22.0889,212350800.0,22.3662,22.6279,-0.0338,-0.199,32.0812,32.1057,0.0779,0.8693
8839,2016-01-20,95.1,98.19,93.42,96.79,22.1186,289337600.0,22.2959,22.5025,-0.0986,-0.1669,32.9271,32.5144,0.0807,0.6655
8840,2016-01-21,97.06,97.88,94.94,96.3,22.0066,208646000.0,22.1989,22.3882,-0.1228,-0.1366,31.2166,31.7384,0.0948,0.4886
8841,2016-01-22,98.63,101.46,98.37,101.42,23.1766,263202000.0,22.4126,22.4538,0.0433,-0.0774,57.8818,46.1862,0.1581,0.368
8842,2016-01-25,101.52,101.53,99.21,99.44,22.7242,207178000.0,22.5014,22.4675,0.0651,-0.0265,49.2661,42.4453,0.1698,0.2086
8843,2016-01-26,99.93,100.88,98.07,99.99,22.8499,300308000.0,22.6048,22.5108,0.1532,0.0139,51.6014,43.8072,0.1806,0.1502
8844,2016-01-27,96.04,96.63,93.34,93.42,21.3485,533478800.0,22.329,22.3599,-0.0015,-0.0009,31.4368,33.5849,0.3305,0.2074
8845,2016-01-28,93.79,94.52,92.39,94.09,21.5016,222715200.0,22.1218,22.2452,-0.1248,-0.036,34.4826,35.2442,0.4132,0.2514
8846,2016-01-29,94.79,97.34,94.35,97.34,22.2443,257666000.0,22.1212,22.2347,-0.1433,-0.0438,47.6457,42.7208,0.4106,0.2499
8847,2016-02-01,96.47,96.71,95.4,96.43,22.0363,163774000.0,22.0642,22.1956,-0.2046,-0.046,44.7107,41.2832,0.4085,0.2523
8848,2016-02-02,95.42,96.04,94.28,94.48,21.5907,149428800.0,21.8946,22.1016,-0.1476,-0.0481,38.7454,38.3091,0.3051,0.2584
8849,2016-02-03,95.0,96.84,94.08,96.35,22.018,183857200.0,21.8886,22.0766,-0.0527,-0.0518,46.701,42.5809,0.2286,0.2604
8850,2016-02-04,95.86,97.33,95.19,96.6,22.195,185886800.0,21.952,22.0774,0.1042,-0.0333,49.8488,44.3014,0.1111,0.237
8851,2016-02-05,96.52,96.92,93.69,94.02,21.6022,185672400.0,21.8906,22.0044,0.0066,-0.0474,40.5023,39.9805,0.0828,0.2564
8852,2016-02-08,93.13,95.7,93.04,95.01,21.8296,216085600.0,21.877,21.9674,-0.0539,-0.056,45.1084,42.3052,0.0601,0.2616
8853,2016-02-09,94.29,95.94,93.93,94.99,21.825,177324800.0,21.8505,21.9323,-0.0204,-0.0625,45.0261,42.2695,0.0441,0.266
8854,2016-02-10,95.92,96.35,94.1,94.27,21.6596,169374400.0,21.7977,21.8778,-0.0195,-0.0762,41.8263,40.9333,0.0437,0.2771
8855,2016-02-11,93.79,94.72,92.59,93.7,21.5287,200298800.0,21.7256,21.8093,-0.0827,-0.0535,39.2508,39.8593,0.0481,0.1903
8856,2016-02-12,94.19,94.5,93.01,93.99,21.5953,161405600.0,21.6723,21.7653,-0.0756,-0.0366,41.3929,40.7116,0.0447,0.146
8857,2016-02-16,95.02,96.85,94.61,96.64,22.2042,196231600.0,21.7864,21.8132,0.0372,0.0068,57.4112,47.9714,0.0459,0.0809
8858,2016-02-17,96.67,98.21,96.15,98.12,22.5442,179452800.0,21.9852,21.9126,0.1014,0.0133,63.848,51.5397,0.115,0.0989
8859,2016-02-18,98.84,98.89,96.09,96.26,22.1168,156084000.0,22.0434,21.9437,0.1186,0.0073,52.2635,47.1611,0.1206,0.0904
8860,2016-02-19,96.0,96.76,95.8,96.04,22.0663,141496800.0,22.0788,21.9622,0.1195,0.0217,50.9882,46.6567,0.1209,0.0844
8861,2016-02-22,96.31,96.9,95.92,96.88,22.2593,137123200.0,22.1538,22.008,0.1088,0.0355,55.7973,48.9057,0.1136,0.0916
8862,2016-02-23,96.4,96.5,94.55,94.69,21.7561,127770400.0,22.0816,21.9847,0.0041,0.0193,42.9716,43.729,0.0863,0.0854
8863,2016-02-24,93.98,96.38,93.32,96.1,22.0801,145022800.0,22.0822,22.003,-0.0645,0.0257,51.3688,47.5768,0.0483,0.0863
8864,2016-02-25,96.05,96.76,95.25,96.76,22.2317,110330800.0,22.1035,22.0409,-0.0472,0.042,54.9869,49.3229,0.0489,0.0877
8865,2016-02-26,97.2,98.02,96.58,96.91,22.2662,115964400.0,22.1323,22.0831,0.0214,0.0396,55.8589,49.7332,0.0271,0.0839
8866,2016-02-29,96.86,98.23,96.65,96.69,22.2156,140865200.0,22.1585,22.1122,0.0335,0.0403,54.0668,49.1052,0.0284,0.0846
8867,2016-03-01,97.65,100.77,97.42,100.53,23.0979,201628400.0,22.4017,22.2553,0.1293,0.0643,72.206,58.8603,0.1414,0.1557
8868,2016-03-02,100.51,100.89,99.64,100.75,23.1485,132678400.0,22.6208,22.3929,0.2213,0.0788,72.9215,59.3416,0.2349,0.2057
8869,2016-03-03,100.58,101.71,100.45,101.5,23.3208,147822800.0,22.8511,22.5394,0.2281,0.0873,75.4338,61.0142,0.2471,0.2411
